prompt_index;avg_power_W;max_power_W;duration_s;energy_Wh
0;170.537;219.010;15;0.710571
1;174.373;197.810;51;2.470284
2;170.439;188.020;52;2.461897
3;169.312;198.450;78;3.668427
4;167.360;188.870;74;3.440178
5;150.308;156.490;1134;47.347020
6;145.854;176.230;16;0.648240
7;146.453;159.940;67;2.725653
8;150.132;159.400;1132;47.208173
9;146.341;176.050;39;1.585361
10;146.772;177.730;71;2.894670
11;141.733;161.530;8;0.314962
12;144.246;161.330;14;0.560957
13;146.801;197.670;75;3.058354
14;140.740;155.500;9;0.351850
0;141.366;175.650;5;0.196342
1;145.775;159.790;35;1.417257
2;145.753;175.420;24;0.971687
3;147.593;201.130;77;3.156850
4;145.823;182.140;17;0.688609
